Data Path,Object Name,Segmentation Method,Reconstruction Method,mean usdf,mean sdf,mean squared sdf,mean haus dist,min haus dist,max haus dist,RMS haus dist
Data_stuck,YcbPottedMeatCan,BackFlow,robot-joints,0.0013779975,0.0006495786,1.960309e-05,0.0005385173135437071,8.549702215532307e-06,0.009203167632222176,0.0008264099596999586
Data_stuck,YcbPottedMeatCan,OSVOS,point-to-plane,0.008091539,0.0071015023,0.00046125802,0.0027393032796680927,2.277697785757482e-05,0.022114720195531845,0.004788445308804512
Data_stuck,YcbPottedMeatCan,OSVOS,robot-joints,0.0007987347,-1.39885815e-05,9.76878e-06,0.0005634648259729147,8.549702215532307e-06,0.009203167632222176,0.0008453174959868193
Data,YcbTomatoSoupCan,BackFlow,point-to-plane,0.0020481257,0.0013629519,4.5878e-05,0.0012551930267363787,1.890759085654281e-05,0.00743735721334815,0.0018559681484475732
Data,YcbTomatoSoupCan,BackFlow,robot-joints,0.0074065113,0.00014144635,0.00012957261,0.003603714983910322,5.004358172300272e-05,0.014857358299195766,0.004999880213290453
Data,YcbTomatoSoupCan,OSVOS,point-to-plane,0.0024746442,0.002048188,0.00027924005,0.0015235628234222531,3.0940114811528474e-05,0.006643121596425772,0.0018975669518113136
Data,YcbTomatoSoupCan,OSVOS,robot-joints,0.0062959627,-0.0018138136,6.6717395e-05,0.0037305313162505627,5.004358172300272e-05,0.016070175915956497,0.005198429338634014
Data_stuck,YcbTomatoSoupCan,BackFlow,point-to-plane,0.0024775509,0.0020163981,5.2875097e-05,0.000998806208372116,2.4330092855961993e-05,0.010414092801511288,0.0015708929859101772
Data_stuck,YcbTomatoSoupCan,BackFlow,robot-joints,0.0021538825,0.0016033832,4.5972523e-05,0.0007659382536076009,2.4197654056479223e-05,0.011323673650622368,0.0014420090010389686
Data_stuck,YcbTomatoSoupCan,OSVOS,point-to-plane,0.0050341617,0.0047442405,0.014141203,0.001296867965720594,2.568632953625638e-05,0.008903023786842823,0.0017531063640490174
Data_stuck,YcbTomatoSoupCan,OSVOS,robot-joints,0.0007973387,0.00021444044,7.649824e-06,0.0007780659361742437,2.4197654056479223e-05,0.011323673650622368,0.0014440794475376606
Data,YcbCrackerBox,BackFlow,point-to-plane,0.002606088,0.002274313,0.0003145629,0.0007903569494374096,7.989732694113627e-06,0.01728185825049877,0.0018917022971436381
Data,YcbCrackerBox,BackFlow,robot-joints,0.0018963028,0.00074829615,0.00013399529,0.0008231434621848166,3.0056859031901695e-05,0.0185575969517231,0.0019848051015287638
Data,YcbCrackerBox,OSVOS,point-to-plane,0.0003945537,-2.577297e-05,1.1622968e-06,0.0007885301602073014,1.6977222912828438e-05,0.016989802941679955,0.0017099814722314477
Data,YcbCrackerBox,OSVOS,robot-joints,0.00080432143,-0.0003449755,1.8304122e-06,0.0007594379712827504,3.0056859031901695e-05,0.01788700371980667,0.0017473656916990876
Data_stuck,YcbCrackerBox,BackFlow,point-to-plane,0.00043387068,8.3274215e-05,3.3789427e-06,0.0007060357602313161,2.0562272766255774e-05,0.018293770030140877,0.0017479142406955361
